CodTrade,Tipo,Data/Ora,Prezzo,Quantità,P&L
1,SHORT,2025-07-02 00:35:00,147.17,-21.74,0.0
2,CLOSE SHORT,2025-07-02 01:15:00,146.95,21.74,-0.02
3,CLOSE SHORT,2025-07-02 01:15:00,146.92,0.0,-0.0
4,BUY,2025-07-02 01:20:00,147.39,21.71,0.0
5,CLOSE LONG,2025-07-02 01:25:00,146.71,-21.71,-0.46
6,SHORT,2025-07-02 03:30:00,148.83,-21.5,0.0
7,CLOSE SHORT,2025-07-02 04:00:00,149.43,21.5,-0.71
8,SHORT,2025-07-03 00:50:00,152.94,-20.92,0.0
9,CLOSE SHORT,2025-07-03 01:00:00,153.62,20.92,-2.29
10,BUY,2025-07-03 02:45:00,152.3,21.01,0.0
11,CLOSE LONG,2025-07-03 03:25:00,153.6,-21.01,22.49
12,SHORT,2025-07-03 03:35:00,153.5,-20.85,0.0
13,CLOSE SHORT,2025-07-03 04:50:00,154.2,20.85,-8.34
14,SHORT,2025-07-03 20:30:00,152.35,-21.0,0.0
15,CLOSE SHORT,2025-07-03 21:00:00,152.85,21.0,-15.31
16,SHORT,2025-07-03 22:10:00,153.03,-20.91,0.0
17,CLOSE SHORT,2025-07-03 22:15:00,153.53,20.91,-2.92
18,BUY,2025-07-03 22:45:00,152.85,20.94,0.0
19,CLOSE LONG,2025-07-03 22:55:00,152.41,-20.94,-2.5
20,SHORT,2025-07-04 00:50:00,152.35,-21.0,0.0
21,CLOSE SHORT,2025-07-04 00:55:00,152.91,21.0,-6.27
22,SHORT,2025-07-04 05:20:00,152.35,-21.0,0.0
23,CLOSE SHORT,2025-07-04 05:25:00,153.01,21.0,-18.67
24,SHORT,2025-07-04 05:35:00,153.25,-20.88,0.0
25,CLOSE SHORT,2025-07-04 07:20:00,151.21,20.88,37.83
26,BUY,2025-07-04 12:55:00,150.53,21.26,0.0
27,CLOSE LONG,2025-07-04 13:00:00,149.99,-21.26,-3.1
28,SHORT,2025-07-04 13:10:00,150.13,-21.31,0.0
29,CLOSE SHORT,2025-07-04 13:15:00,150.77,21.31,-8.21
30,BUY,2025-07-05 01:55:00,148.21,21.59,0.0
31,CLOSE LONG,2025-07-05 02:00:00,147.75,-21.59,-7.82
32,BUY,2025-07-05 02:35:00,147.81,21.65,0.0
33,CLOSE LONG,2025-07-05 02:45:00,147.29,-21.65,1.48
34,SHORT,2025-07-05 03:10:00,148.08,-21.61,0.0
35,CLOSE SHORT,2025-07-05 03:35:00,148.54,21.61,-0.05
36,BUY,2025-07-05 05:20:00,147.18,21.74,0.0
37,CLOSE BUY,2025-07-05 05:35:00,146.72,-21.74,-14.79
38,BUY,2025-07-05 08:10:00,147.87,21.64,0.0
39,CLOSE BUY,2025-07-05 08:25:00,147.45,-21.64,-13.88
40,BUY,2025-07-05 08:50:00,147.28,21.73,0.0
41,CLOSE BUY,2025-07-05 09:15:00,146.88,-21.73,-13.48
42,BUY,2025-07-05 12:40:00,148.04,21.62,0.0
43,CLOSE LONG,2025-07-05 12:45:00,147.66,-21.62,-1.12
44,SHORT,2025-07-05 13:30:00,148.01,-21.62,0.0
45,CLOSE SHORT,2025-07-05 13:35:00,148.45,21.62,-3.94
46,BUY,2025-07-05 14:15:00,147.98,21.62,0.0
47,CLOSE LONG,2025-07-05 14:20:00,147.52,-21.62,-3.07
48,SHORT,2025-07-05 15:10:00,148.03,-21.62,0.0
49,CLOSE SHORT,2025-07-05 15:15:00,148.43,21.62,-1.34
50,BUY,2025-07-05 16:00:00,147.22,21.74,0.0
51,CLOSE BUY,2025-07-05 16:20:00,146.86,-21.74,-12.62
52,SHORT,2025-07-05 21:05:00,146.96,-21.77,0.0
53,CLOSE SHORT,2025-07-05 21:30:00,147.34,21.77,-13.08
54,BUY,2025-07-06 00:15:00,147.39,21.71,0.0
55,CLOSE LONG,2025-07-06 00:40:00,147.11,-21.71,-1.11
56,BUY,2025-07-06 01:35:00,147.23,21.73,0.0
